Project Name;Checkpoint Name;Created On;File Name;Lines;Statements;Percent Branch Statements;Method Call Statements;Percent Lines with Comments;Classes and Interfaces;Methods per Class;Average Statements per Method;Line Number of Most Complex Method*;Name of Most Complex Method*;Maximum Complexity*;Line Number of Deepest Block;Maximum Block Depth;Average Block Depth;Average Complexity*;Statements at block level 0;Statements at block level 1;Statements at block level 2;Statements at block level 3;Statements at block level 4;Statements at block level 5;Statements at block level 6;Statements at block level 7;Statements at block level 8;Statements at block level 9
test;Baseline;18 Nov 2014;Mozzarella.java;25;9;0.0;5;0.0;1;3.00;1.67;4;Mozzarella.getCost();1;5;2;1.44;1.00;1;3;5;0;0;0;0;0;0;0
test;Baseline;18 Nov 2014;Pizza.java;6;3;0.0;0;0.0;1;2.00;0.00;;;0;3;1;0.67;0.00;1;2;0;0;0;0;0;0;0;0
test;Baseline;18 Nov 2014;PizzaMaker.java;13;5;0.0;5;0.0;1;1.00;3.00;4;PizzaMaker.main();1;6;2;1.40;1.00;1;1;3;0;0;0;0;0;0;0
test;Baseline;18 Nov 2014;PlainPizza.java;16;5;0.0;0;12.5;1;2.00;1.00;5;PlainPizza.getCost();1;7;2;1.20;1.00;1;2;2;0;0;0;0;0;0;0
test;Baseline;18 Nov 2014;TomatoSauce.java;25;8;0.0;4;0.0;1;3.00;1.33;4;TomatoSauce.getCost();1;5;2;1.38;1.00;1;3;4;0;0;0;0;0;0;0
test;Baseline;18 Nov 2014;ToppingDecorator.java;20;8;0.0;2;0.0;1;3.00;1.00;5;ToppingDecorator.getCost();1;6;2;1.25;1.00;1;4;3;0;0;0;0;0;0;0
